,gds,csb,cgs,cdb,cgd,cds,w,l,vsd,vbs,vsg
0,1.084e-08,9.284e-16,4.133e-16,9.284e-16,4.133e-16,-1.959e-21,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.0
1,3.958e-08,9.284e-16,4.18e-16,9.284e-16,4.18e-16,-1.0860000000000001e-20,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.05
2,1.455e-07,9.284e-16,4.219e-16,9.284e-16,4.219e-16,-6.065e-20,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.1
3,5.382e-07,9.285e-16,4.256e-16,9.285e-16,4.256e-16,-3.398e-19,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.15
4,1.998e-06,9.29e-16,4.318e-16,9.29e-16,4.318e-16,-1.887e-18,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.2
5,7.401e-06,9.313e-16,4.541e-16,9.313e-16,4.541e-16,-9.736e-18,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.25
6,2.683e-05,9.392e-16,5.284e-16,9.392e-16,5.284e-16,-3.735e-17,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.3
7,9.031e-05,9.515e-16,6.488e-16,9.515e-16,6.488e-16,-8.256e-17,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.35
8,0.0002593,9.61e-16,7.487e-16,9.61e-16,7.487e-16,-1.202e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.4
9,0.0006004,9.668e-16,8.146e-16,9.668e-16,8.146e-16,-1.449e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.45
10,0.001128,9.705e-16,8.582e-16,9.705e-16,8.582e-16,-1.611e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.5
11,0.001793,9.728e-16,8.884e-16,9.728e-16,8.884e-16,-1.721e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.55
12,0.002526,9.745e-16,9.101e-16,9.745e-16,9.101e-16,-1.799e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.6
13,0.003266,9.756e-16,9.264e-16,9.756e-16,9.264e-16,-1.857e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.65
14,0.003968,9.765e-16,9.388e-16,9.765e-16,9.388e-16,-1.9e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.7
15,0.004603,9.772e-16,9.485e-16,9.772e-16,9.485e-16,-1.933e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.75
16,0.00516,9.777e-16,9.563e-16,9.777e-16,9.563e-16,-1.959e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.8
17,0.005638,9.781e-16,9.625e-16,9.781e-16,9.625e-16,-1.98e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.85
18,0.006042,9.785e-16,9.675e-16,9.785e-16,9.675e-16,-1.996e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.9
19,0.006381,9.788e-16,9.717e-16,9.788e-16,9.717e-16,-2.009e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,0.95
20,0.006666,9.79e-16,9.751e-16,9.79e-16,9.751e-16,-2.02e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.0
21,0.006905,9.792e-16,9.779e-16,9.792e-16,9.779e-16,-2.028e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.05
22,0.007109,9.794e-16,9.802e-16,9.794e-16,9.802e-16,-2.035e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.1
23,0.007282,9.796e-16,9.821e-16,9.796e-16,9.821e-16,-2.04e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.15
24,0.007432,9.797e-16,9.837e-16,9.797e-16,9.837e-16,-2.045e-16,2.2999999999999996e-06,3.0000000000000004e-08,0.0,0.0,1.2
